product_id,product_name,category,sub_category,supplier_id,cost_price,selling_price,product_status,launch_date
50,Running Trainers,Fashion,Footwear,239,81.01,180.02,Active,2023-05-13
51,Classic Cotton Shirt,Fashion,Clothing,175,78.33,174.07,Discontinued,2023-05-22
52,Portable Charger,Consumer Goods,Electronics,50,80.82,124.34,Active,2022-08-02
53,Wireless Speaker,Consumer Goods,Electronics,103,49.9,76.77,Active,2022-11-15
54,Foundation Set,Beauty,Cosmetics,184,49.24,140.69,Discontinued,2026-03-22
55,Classic Belt,Fashion,Accessories,239,21.39,47.53,Active,2024-10-11
56,Premium Knit Sweater,Fashion,Clothing,48,39.96,88.8,Discontinued,2024-08-01
57,Running Trainers,Fashion,Footwear,244,79.77,177.27,Active,2022-05-24
58,Ceramic Dinner Set,Home,Kitchen,22,165.89,301.62,Active,2025-03-08
59,Running Trainers,Fashion,Footwear,220,117.78,261.73,Active,2022-05-10
60,Hiking Equipment,Lifestyle,Outdoor,142,58.29,116.58,Active,2023-06-08
61,Canvas Backpack,Fashion,Accessories,202,13.96,31.02,Active,2026-06-26
62,Bedroom Side Table,Home,Furniture,32,29.62,53.85,Active,2024-09-26
63,Hydrating Moisturiser,Beauty,Skincare,63,35.06,100.17,Active,2024-04-27
64,Decorative Lamp,Home,Decor,193,192.38,349.78,Active,2024-12-17
65,Hydrating Moisturiser,Beauty,Skincare,11,11.43,32.66,Active,2025-10-02
66,Workout Equipment,Lifestyle,Fitness,250,82.02,164.04,Active,2025-06-01
67,Leather Wallet,Fashion,Accessories,122,105.94,235.42,Active,2022-09-07
68,Casual Canvas Shoes,Fashion,Footwear,94,100.26,222.8,Active,2021-09-12
69,Canvas Backpack,Fashion,Accessories,133,46.11,102.47,Active,2023-02-12
70,Office Stationery Pack,Consumer Goods,Stationery,191,81.32,125.11,Discontinued,2022-11-16
71,Classic Cotton Shirt,Fashion,Clothing,76,29.64,65.87,Active,2022-08-05
72,Designer Sunglasses,Fashion,Accessories,116,90.14,200.31,Active,2026-04-02
73,Cotton Cushion Set,Home,Decor,139,226.89,412.53,Active,2025-12-02
74,Designer Sunglasses,Fashion,Accessories,1,67.19,149.31,Discontinued,2023-02-10
75,Hiking Equipment,Lifestyle,Outdoor,212,23.72,47.44,Active,2024-10-24
76,Classic Belt,Fashion,Accessories,215,44.53,98.96,Active,2023-07-08
77,Workout Equipment,Lifestyle,Fitness,98,68.35,136.7,Active,2026-02-09
78,Premium Cookware Set,Home,Kitchen,64,116.7,212.18,Active,2023-10-31
79,Travel Organiser,Lifestyle,Travel,185,33.59,67.18,Discontinued,2022-11-11
80,Strengthening Shampoo,Beauty,Haircare,63,23.2,66.29,Discontinued,2022-10-09
81,Resistance Bands,Lifestyle,Fitness,144,47.01,94.02,Active,2024-05-06
82,Ceramic Vase,Home,Decor,201,39.5,71.82,Discontinued,2022-11-07
83,Outdoor Water Bottle,Lifestyle,Outdoor,35,82.75,165.5,Active,2024-06-17
84,Travel Backpack,Lifestyle,Travel,72,7.32,14.64,Active,2026-01-10
85,Storage Box,Consumer Goods,General,123,68.02,104.65,Discontinued,2023-07-15
86,Designer Sunglasses,Fashion,Accessories,183,53.96,119.91,Active,2022-08-20
87,Travel Backpack,Lifestyle,Travel,142,25.79,51.58,Discontinued,2026-07-11
88,Ceramic Vase,Home,Decor,246,47.91,87.11,Active,2024-02-01
89,Foundation Set,Beauty,Cosmetics,238,44.9,128.29,Discontinued,2021-12-29
90,Foundation Set,Beauty,Cosmetics,161,23.96,68.46,Active,2021-10-10
91,Resistance Bands,Lifestyle,Fitness,90,76.42,152.84,Active,2022-02-01
92,Outdoor Water Bottle,Lifestyle,Outdoor,205,27.73,55.46,Active,2024-09-03
93,Running Trainers,Fashion,Footwear,86,46.94,104.31,Discontinued,2025-07-01
94,Slim Fit Denim Jacket,Fashion,Clothing,122,86.33,191.84,Active,2023-08-25
95,Casual Canvas Shoes,Fashion,Footwear,202,61.25,136.11,Active,2021-11-09
96,Formal Leather Shoes,Fashion,Footwear,210,114.07,253.49,Active,2023-06-12
97,Foundation Set,Beauty,Cosmetics,145,3.28,9.37,Active,2026-07-08
98,Formal Leather Shoes,Fashion,Footwear,202,92.23,204.96,Discontinued,2024-03-08
99,Cabin Luggage,Lifestyle,Travel,87,30.93,61.86,Active,2026-05-24
100,Formal Leather Shoes,Fashion,Footwear,52,102.46,227.69,Active,2025-11-03
101,Storage Box,Consumer Goods,General,113,92.86,142.86,Active,2021-08-05
102,Running Trainers,Fashion,Footwear,175,29.99,66.64,Active,2025-02-21
103,Bedroom Side Table,Home,Furniture,127,97.63,177.51,Active,2024-12-11
104,Casual Canvas Shoes,Fashion,Footwear,17,61.73,137.18,Discontinued,2024-03-22
105,Running Trainers,Fashion,Footwear,228,17.55,39.0,Active,2022-11-15
106,Travel Backpack,Lifestyle,Travel,15,64.03,128.06,Active,2024-09-28
107,Leather Wallet,Fashion,Accessories,206,114.25,253.89,Active,2022-02-04
108,Fitness Training Mat,Lifestyle,Fitness,200,62.69,125.38,Active,2023-09-17
109,Cabin Luggage,Lifestyle,Travel,37,59.98,119.96,Active,2023-10-22
110,Kitchen Knife Set,Home,Kitchen,222,65.62,119.31,Discontinued,2026-04-22
111,Camping Chair,Lifestyle,Outdoor,37,71.23,142.46,Active,2025-12-01
112,Luxury Beauty Kit,Beauty,Cosmetics,242,49.24,140.69,Active,2022-11-08
113,Casual Canvas Shoes,Fashion,Footwear,14,65.66,145.91,Active,2024-01-16
114,Formal Leather Shoes,Fashion,Footwear,27,57.69,128.2,Active,2022-06-07
115,Workout Equipment,Lifestyle,Fitness,72,46.37,92.74,Discontinued,2026-02-06
116,Office Stationery Pack,Consumer Goods,Stationery,123,70.98,109.2,Discontinued,2025-11-21
117,Classic Cotton Shirt,Fashion,Clothing,86,106.98,237.73,Active,2023-01-11
118,Hiking Equipment,Lifestyle,Outdoor,212,41.0,82.0,Active,2024-09-24
119,Premium Cookware Set,Home,Kitchen,163,68.79,125.07,Active,2024-07-31
120,Classic Belt,Fashion,Accessories,204,11.12,24.71,Active,2022-04-21
121,Designer Sunglasses,Fashion,Accessories,183,71.07,157.93,Active,2025-05-08
122,Hiking Equipment,Lifestyle,Outdoor,166,47.58,95.16,Active,2024-03-26
123,Organic Linen Shirt,Fashion,Clothing,69,43.68,97.07,Discontinued,2025-06-06
124,Wall Art Frame,Home,Decor,151,249.23,453.15,Discontinued,2024-03-10
125,Designer Sunglasses,Fashion,Accessories,86,43.73,97.18,Active,2021-07-17
126,Heritage Wool Coat,Fashion,Clothing,39,91.72,203.82,Active,2023-02-27
127,Designer Sunglasses,Fashion,Accessories,86,89.7,199.33,Discontinued,2021-08-20
128,Wooden Storage Cabinet,Home,Furniture,96,72.32,131.49,Active,2026-03-08
129,Canvas Backpack,Fashion,Accessories,86,15.01,33.36,Active,2025-12-06
130,Ceramic Vase,Home,Decor,194,219.75,399.55,Active,2025-09-11
131,Premium Knit Sweater,Fashion,Clothing,88,61.63,136.96,Active,2023-01-28
132,Heritage Wool Coat,Fashion,Clothing,176,22.55,50.11,Active,2021-10-29
133,Oak Dining Table,Home,Furniture,45,54.32,98.76,Discontinued,2025-12-05
134,Wireless Speaker,Consumer Goods,Electronics,34,88.13,135.58,Active,2026-04-10
135,Camping Chair,Lifestyle,Outdoor,171,41.14,82.28,Active,2021-12-19
136,Designer Sunglasses,Fashion,Accessories,94,72.55,161.22,Active,2023-12-20
137,Camping Chair,Lifestyle,Outdoor,83,64.42,128.84,Active,2021-11-19
138,Travel Backpack,Lifestyle,Travel,80,57.44,114.88,Active,2025-05-04
139,Formal Leather Shoes,Fashion,Footwear,88,13.59,30.2,Active,2025-05-14
140,Outdoor Water Bottle,Lifestyle,Outdoor,31,70.3,140.6,Active,2022-03-07
141,Hiking Equipment,Lifestyle,Outdoor,212,81.37,162.74,Active,2023-11-30
142,Ceramic Vase,Home,Decor,196,54.27,98.67,Active,2024-04-14
143,Vitamin C Serum,Beauty,Skincare,57,40.25,115.0,Discontinued,2022-11-11
144,Outdoor Water Bottle,Lifestyle,Outdoor,144,16.81,33.62,Active,2025-11-25
145,Workout Equipment,Lifestyle,Fitness,174,51.91,103.82,Active,2023-08-27
146,Glass Storage Containers,Home,Kitchen,192,77.58,141.05,Active,2022-08-06
147,Leather Wallet,Fashion,Accessories,244,100.36,223.02,Discontinued,2024-03-26
148,Organic Linen Shirt,Fashion,Clothing,199,81.67,181.49,Active,2025-03-09
149,Designer Sunglasses,Fashion,Accessories,220,99.57,221.27,Active,2022-07-18
150,Glass Storage Containers,Home,Kitchen,127,174.13,316.6,Active,2023-02-05
151,Designer Sunglasses,Fashion,Accessories,88,82.88,184.18,Active,2026-07-07
152,Luxury Beauty Kit,Beauty,Cosmetics,143,7.14,20.4,Active,2024-10-14
153,Premium Leather Boots,Fashion,Footwear,239,105.63,234.73,Active,2023-09-23
154,Modern Sofa,Home,Furniture,193,193.98,352.69,Active,2024-02-16
155,Cabin Luggage,Lifestyle,Travel,181,17.45,34.9,Active,2022-02-21
156,Decorative Lamp,Home,Decor,26,26.64,48.44,Discontinued,2022-08-30
157,Camping Chair,Lifestyle,Outdoor,98,57.33,114.66,Discontinued,2023-03-25
158,Oak Dining Table,Home,Furniture,160,237.82,432.4,Active,2024-06-24
159,Wall Art Frame,Home,Decor,177,182.24,331.35,Active,2022-09-09
160,Hair Repair Treatment,Beauty,Haircare,143,28.91,82.6,Active,2022-08-22
161,Canvas Backpack,Fashion,Accessories,14,40.39,89.76,Active,2021-11-22
162,Classic Belt,Fashion,Accessories,1,41.11,91.36,Active,2024-09-10
163,Foundation Set,Beauty,Cosmetics,53,23.99,68.54,Active,2022-09-07
164,Designer Sunglasses,Fashion,Accessories,175,112.61,250.24,Active,2026-01-24
165,Portable Charger,Consumer Goods,Electronics,108,42.7,65.69,Active,2025-11-01
166,Designer Sunglasses,Fashion,Accessories,122,52.47,116.6,Active,2021-11-22
167,Wooden Storage Cabinet,Home,Furniture,177,242.03,440.05,Active,2022-09-23
168,Hair Repair Treatment,Beauty,Haircare,158,45.79,130.83,Active,2024-11-18
169,Workout Equipment,Lifestyle,Fitness,72,12.11,24.22,Active,2022-08-11
170,Designer Sunglasses,Fashion,Accessories,228,18.83,41.84,Active,2022-03-14
171,Foundation Set,Beauty,Cosmetics,105,32.46,92.74,Active,2026-03-20
172,Natural Face Cleanser,Beauty,Skincare,29,14.03,40.09,Active,2024-05-23
173,Storage Box,Consumer Goods,General,118,146.97,226.11,Active,2023-11-26
174,Wall Art Frame,Home,Decor,7,30.58,55.6,Active,2025-06-17
175,Formal Leather Shoes,Fashion,Footwear,48,36.86,81.91,Active,2025-07-29
176,Wooden Storage Cabinet,Home,Furniture,56,38.16,69.38,Active,2022-06-28
177,Cabin Luggage,Lifestyle,Travel,190,18.6,37.2,Active,2022-01-08
178,Resistance Bands,Lifestyle,Fitness,212,5.89,11.78,Active,2023-09-11
179,Storage Box,Consumer Goods,General,25,71.84,110.52,Active,2023-08-28
180,Office Stationery Pack,Consumer Goods,Stationery,207,45.01,69.25,Active,2023-11-15
181,Formal Leather Shoes,Fashion,Footwear,27,36.09,80.2,Discontinued,2025-03-08
182,Glass Storage Containers,Home,Kitchen,7,244.93,445.33,Active,2024-11-26
183,Leather Wallet,Fashion,Accessories,214,91.97,204.38,Active,2026-06-17
184,Travel Organiser,Lifestyle,Travel,115,25.81,51.62,Active,2022-01-11
185,Hiking Equipment,Lifestyle,Outdoor,212,69.68,139.36,Active,2023-07-21
186,Hiking Equipment,Lifestyle,Outdoor,16,34.35,68.7,Active,2023-03-27
187,Running Trainers,Fashion,Footwear,17,110.06,244.58,Active,2025-11-05
188,Travel Backpack,Lifestyle,Travel,71,79.72,159.44,Active,2022-10-13
189,Premium Cookware Set,Home,Kitchen,91,230.23,418.6,Active,2022-06-28
190,Office Stationery Pack,Consumer Goods,Stationery,34,75.57,116.26,Active,2023-10-13
191,Organic Linen Shirt,Fashion,Clothing,204,50.24,111.64,Active,2023-08-25
192,Leather Wallet,Fashion,Accessories,175,50.54,112.31,Active,2022-12-06
193,Wall Art Frame,Home,Decor,24,175.21,318.56,Active,2022-10-15
194,Classic Belt,Fashion,Accessories,215,34.35,76.33,Active,2026-02-25
195,Workout Equipment,Lifestyle,Fitness,98,66.68,133.36,Active,2023-10-03
196,Heritage Wool Coat,Fashion,Clothing,183,22.77,50.6,Active,2025-11-04
197,Hydrating Moisturiser,Beauty,Skincare,143,20.44,58.4,Discontinued,2024-04-15
198,Ceramic Vase,Home,Decor,146,170.63,310.24,Active,2021-10-16
199,Fitness Training Mat,Lifestyle,Fitness,230,40.2,80.4,Active,2026-07-14
200,Modern Sofa,Home,Furniture,24,245.61,446.56,Active,2025-09-19
201,Wall Art Frame,Home,Decor,18,111.57,202.85,Active,2026-05-20
202,Premium Notebook Set,Consumer Goods,Stationery,195,39.69,61.06,Discontinued,2026-03-03
203,Smart Home Device,Consumer Goods,Electronics,65,148.43,228.35,Discontinued,2025-10-12
204,Canvas Backpack,Fashion,Accessories,210,33.75,75.0,Active,2022-05-15
205,Premium Knit Sweater,Fashion,Clothing,1,40.5,90.0,Active,2023-12-19
206,Household Organiser,Consumer Goods,General,44,25.39,39.06,Active,2022-08-10
207,Running Trainers,Fashion,Footwear,210,45.61,101.36,Active,2023-07-18
208,Organic Linen Shirt,Fashion,Clothing,199,22.5,50.0,Active,2021-10-31
209,Ceramic Dinner Set,Home,Kitchen,154,135.88,247.05,Discontinued,2023-06-08
210,Classic Belt,Fashion,Accessories,175,80.77,179.49,Active,2026-06-19
211,Formal Leather Shoes,Fashion,Footwear,147,85.47,189.93,Active,2022-11-12
212,Fitness Training Mat,Lifestyle,Fitness,35,35.6,71.2,Active,2025-06-16
213,Casual Canvas Shoes,Fashion,Footwear,122,119.41,265.36,Discontinued,2023-10-24
214,Designer Sunglasses,Fashion,Accessories,27,97.24,216.09,Active,2023-08-27
215,Luxury Beauty Kit,Beauty,Cosmetics,136,24.22,69.2,Active,2026-04-29
216,Kitchen Knife Set,Home,Kitchen,146,187.81,341.47,Active,2026-07-07
217,Wall Art Frame,Home,Decor,137,239.33,435.15,Active,2024-04-25
218,Classic Cotton Shirt,Fashion,Clothing,147,20.62,45.82,Active,2025-02-16
219,Luxury Beauty Kit,Beauty,Cosmetics,168,47.96,137.03,Discontinued,2022-04-24
220,Organic Linen Shirt,Fashion,Clothing,116,106.1,235.78,Active,2023-01-08
221,Luxury Beauty Kit,Beauty,Cosmetics,102,31.22,89.2,Active,2026-05-19
222,Canvas Backpack,Fashion,Accessories,48,82.24,182.76,Active,2024-06-07
223,Strengthening Shampoo,Beauty,Haircare,43,38.84,110.97,Discontinued,2024-04-01
224,Premium Leather Boots,Fashion,Footwear,214,112.2,249.33,Active,2025-04-11
225,Casual Canvas Shoes,Fashion,Footwear,106,48.61,108.02,Active,2021-10-28
226,Foundation Set,Beauty,Cosmetics,29,9.67,27.63,Active,2024-06-16
227,Canvas Backpack,Fashion,Accessories,122,56.18,124.84,Active,2024-01-20
228,Casual Canvas Shoes,Fashion,Footwear,206,75.58,167.96,Active,2025-10-20
229,Leather Wallet,Fashion,Accessories,244,18.97,42.16,Active,2022-04-29
230,Workout Equipment,Lifestyle,Fitness,144,44.35,88.7,Active,2026-05-05
231,Cabin Luggage,Lifestyle,Travel,142,15.53,31.06,Discontinued,2021-12-09
232,Wall Art Frame,Home,Decor,8,70.72,128.58,Discontinued,2022-06-20
233,Heritage Wool Coat,Fashion,Clothing,61,94.41,209.8,Active,2024-07-06
234,Classic Cotton Shirt,Fashion,Clothing,183,92.17,204.82,Active,2024-11-29
235,Canvas Backpack,Fashion,Accessories,197,71.46,158.8,Active,2022-09-18
236,Leather Wallet,Fashion,Accessories,147,12.06,26.8,Active,2022-02-19
237,Foundation Set,Beauty,Cosmetics,165,22.01,62.89,Active,2025-12-27
238,Premium Leather Boots,Fashion,Footwear,99,28.91,64.24,Discontinued,2022-10-08
239,Wall Art Frame,Home,Decor,22,120.44,218.98,Active,2024-07-05
240,Designer Sunglasses,Fashion,Accessories,199,18.65,41.44,Active,2024-08-19
241,Cabin Luggage,Lifestyle,Travel,79,12.26,24.52,Active,2023-08-20
242,Modern Sofa,Home,Furniture,131,187.3,340.55,Active,2024-06-15
243,Heritage Wool Coat,Fashion,Clothing,59,29.08,64.62,Active,2024-02-25
244,Camping Chair,Lifestyle,Outdoor,80,95.37,190.74,Active,2026-03-18
245,Decorative Lamp,Home,Decor,209,232.56,422.84,Discontinued,2022-07-23
246,Outdoor Water Bottle,Lifestyle,Outdoor,205,35.03,70.06,Active,2025-02-12
247,Casual Canvas Shoes,Fashion,Footwear,86,75.06,166.8,Active,2022-09-24
248,Kitchen Knife Set,Home,Kitchen,154,28.65,52.09,Active,2023-07-08
249,Natural Face Cleanser,Beauty,Skincare,36,31.91,91.17,Discontinued,2024-11-23
250,Cotton Cushion Set,Home,Decor,154,229.08,416.51,Discontinued,2023-01-14
251,Workout Equipment,Lifestyle,Fitness,155,52.63,105.26,Active,2023-02-13
252,Ceramic Dinner Set,Home,Kitchen,177,168.61,306.56,Active,2025-04-18
253,Formal Leather Shoes,Fashion,Footwear,199,67.5,150.0,Active,2021-11-25
254,Kitchen Knife Set,Home,Kitchen,146,198.13,360.24,Discontinued,2023-10-30
255,Classic Belt,Fashion,Accessories,14,46.27,102.82,Discontinued,2026-07-13
256,Resistance Bands,Lifestyle,Fitness,245,85.9,171.8,Discontinued,2026-07-08
257,Hair Repair Treatment,Beauty,Haircare,168,34.19,97.69,Active,2021-11-26
258,Designer Sunglasses,Fashion,Accessories,47,75.45,167.67,Active,2022-08-09
259,Casual Canvas Shoes,Fashion,Footwear,47,83.71,186.02,Discontinued,2022-11-12
260,Designer Sunglasses,Fashion,Accessories,197,49.8,110.67,Active,2026-03-16
261,Heritage Wool Coat,Fashion,Clothing,183,31.12,69.16,Active,2025-12-10
262,Premium Leather Boots,Fashion,Footwear,197,94.8,210.67,Discontinued,2025-12-07
263,Running Trainers,Fashion,Footwear,214,51.44,114.31,Active,2023-05-21
264,Canvas Backpack,Fashion,Accessories,164,14.81,32.91,Active,2022-04-30
265,Cabin Luggage,Lifestyle,Travel,203,32.07,64.14,Active,2025-09-15
266,Heritage Wool Coat,Fashion,Clothing,176,109.44,243.2,Active,2025-01-20
267,Decorative Lamp,Home,Decor,160,196.97,358.13,Active,2024-08-05
268,Premium Cookware Set,Home,Kitchen,241,65.93,119.87,Discontinued,2026-06-22
269,Premium Leather Boots,Fashion,Footwear,228,62.86,139.69,Active,2024-10-22
270,Oak Dining Table,Home,Furniture,96,39.29,71.44,Active,2021-07-30
271,Canvas Backpack,Fashion,Accessories,147,20.09,44.64,Active,2025-08-16
272,Hair Repair Treatment,Beauty,Haircare,135,5.5,15.71,Discontinued,2023-01-13
273,Ceramic Dinner Set,Home,Kitchen,137,71.64,130.25,Active,2024-11-08
274,Household Organiser,Consumer Goods,General,249,30.45,46.85,Active,2026-03-26
275,Running Trainers,Fashion,Footwear,176,59.35,131.89,Active,2022-03-18
276,Smart Home Device,Consumer Goods,Electronics,50,126.89,195.22,Discontinued,2022-02-11
277,Household Organiser,Consumer Goods,General,34,118.66,182.55,Active,2022-01-27
278,Slim Fit Denim Jacket,Fashion,Clothing,138,80.28,178.4,Discontinued,2024-04-21
279,Bedroom Side Table,Home,Furniture,192,143.29,260.53,Discontinued,2022-11-25
280,Ceramic Vase,Home,Decor,96,118.72,215.85,Discontinued,2024-07-24
281,Decorative Lamp,Home,Decor,56,172.81,314.2,Active,2025-02-15
282,Ceramic Dinner Set,Home,Kitchen,179,145.14,263.89,Discontinued,2022-07-22
283,Kitchen Knife Set,Home,Kitchen,8,166.2,302.18,Active,2024-09-16
284,Heritage Wool Coat,Fashion,Clothing,14,47.93,106.51,Active,2022-11-10
285,Outdoor Water Bottle,Lifestyle,Outdoor,71,9.21,18.42,Discontinued,2023-12-25
286,Canvas Backpack,Fashion,Accessories,244,61.11,135.8,Active,2026-01-24
287,Travel Backpack,Lifestyle,Travel,231,78.74,157.48,Active,2025-10-07
288,Classic Cotton Shirt,Fashion,Clothing,59,107.44,238.76,Active,2021-12-31
289,Household Organiser,Consumer Goods,General,156,76.28,117.35,Active,2023-08-28
290,Cabin Luggage,Lifestyle,Travel,115,86.9,173.8,Active,2022-12-03
291,Strengthening Shampoo,Beauty,Haircare,43,40.57,115.91,Active,2021-07-22
292,Foundation Set,Beauty,Cosmetics,112,18.93,54.09,Active,2025-05-24
293,Glass Storage Containers,Home,Kitchen,237,139.43,253.51,Active,2024-09-21
294,Cabin Luggage,Lifestyle,Travel,200,99.53,199.06,Active,2022-11-06
295,Ceramic Dinner Set,Home,Kitchen,22,95.42,173.49,Active,2025-03-30
296,Designer Sunglasses,Fashion,Accessories,52,85.87,190.82,Active,2024-04-18
297,Wall Art Frame,Home,Decor,193,249.57,453.76,Active,2023-09-04
298,Travel Backpack,Lifestyle,Travel,212,65.56,131.12,Active,2021-08-02
299,Ceramic Vase,Home,Decor,7,52.84,96.07,Discontinued,2021-11-30
300,Fitness Training Mat,Lifestyle,Fitness,71,11.39,22.78,Active,2025-12-14
301,Cotton Cushion Set,Home,Decor,192,55.29,100.53,Active,2026-01-21
302,Office Stationery Pack,Consumer Goods,Stationery,235,20.76,31.94,Active,2024-04-07
303,Glass Storage Containers,Home,Kitchen,196,84.1,152.91,Active,2025-09-16
304,Organic Linen Shirt,Fashion,Clothing,199,52.57,116.82,Discontinued,2024-06-13
305,Formal Leather Shoes,Fashion,Footwear,61,119.6,265.78,Active,2022-04-12
306,Fitness Training Mat,Lifestyle,Fitness,49,17.89,35.78,Active,2022-03-05
307,Decorative Lamp,Home,Decor,22,206.42,375.31,Active,2023-01-29
308,Camping Chair,Lifestyle,Outdoor,181,56.51,113.02,Active,2026-01-12
309,Luxury Beauty Kit,Beauty,Cosmetics,242,19.99,57.11,Active,2025-07-08
310,Slim Fit Denim Jacket,Fashion,Clothing,69,96.94,215.42,Active,2025-11-03
311,Wall Art Frame,Home,Decor,160,204.84,372.44,Discontinued,2026-01-12
312,Classic Cotton Shirt,Fashion,Clothing,94,53.8,119.56,Active,2022-08-03
313,Ceramic Dinner Set,Home,Kitchen,32,243.65,443.0,Active,2022-10-14
314,Wall Art Frame,Home,Decor,32,221.93,403.51,Discontinued,2022-01-19
315,Travel Backpack,Lifestyle,Travel,142,52.77,105.54,Active,2025-06-09
316,Luxury Beauty Kit,Beauty,Cosmetics,104,10.74,30.69,Active,2025-12-16
317,Smart Home Device,Consumer Goods,Electronics,153,135.29,208.14,Active,2023-07-28
318,Classic Belt,Fashion,Accessories,47,78.75,175.0,Discontinued,2024-08-22
319,Ceramic Vase,Home,Decor,188,236.57,430.13,Active,2022-04-24
320,Classic Belt,Fashion,Accessories,206,14.53,32.29,Active,2026-03-09
321,Classic Belt,Fashion,Accessories,228,33.19,73.76,Discontinued,2025-11-10
322,Cotton Cushion Set,Home,Decor,163,224.47,408.13,Discontinued,2026-06-02
323,Formal Leather Shoes,Fashion,Footwear,69,98.52,218.93,Active,2025-08-04
324,Classic Cotton Shirt,Fashion,Clothing,52,58.36,129.69,Active,2025-12-11
325,Premium Cookware Set,Home,Kitchen,127,218.14,396.62,Active,2021-08-30
326,Resistance Bands,Lifestyle,Fitness,71,77.26,154.52,Discontinued,2025-03-21
327,Premium Cookware Set,Home,Kitchen,160,48.18,87.6,Active,2023-03-14
